,5830.T      # いよぎんホールディングス,5831.T      # しずおかフィナンシャルグループ,5844.T      # 京都フィナンシャルグループ,7167.T      # めぶきフィナンシャルグループ,7186.T      # コンコルディア・フィナンシャルグループ,8331.T      # 千葉銀行,7173.T      # 東京きらぼしフィナンシャルグループ,7180.T      # 九州フィナンシャルグループ,7184.T      # 富山第一銀行,R_BANK9
2025-10-10 01:25:00+00:00,-1.6286644951140072,-1.851851851851849,-2.895813660686186,-2.832081595549174,-1.3783903957314325,-1.2816299704239253,-1.3568521031207648,-2.3765982064507196,-2.5148908007941784,-2.012974786635804
2025-10-10 01:30:00+00:00,-1.582131223825034,-1.7777777777777781,-2.8643374252439457,-2.7898091217858134,-1.4228546020453536,-1.2487676634899803,-1.2211668928086894,-2.3880283503833533,-2.5148908007941784,-1.9788626509060139
2025-10-10 01:35:00+00:00,-1.6053978594695262,-1.7530864197530915,-2.958766131570667,-2.768679334778057,-1.3783903957314325,-1.2816299704239253,-1.3568521031207648,-2.3994515204636913,-2.382528127068162,-1.987197984708813
2025-10-10 01:40:00+00:00,-1.2563983248022326,-1.7283950617283939,-2.832861189801694,-2.6312970199840913,-1.1560693641618491,-1.183043049622079,-1.085481682496603,-2.2280621261448585,-1.7207147584381244,-1.7580358419088806
2025-10-10 01:45:00+00:00,-1.1865984178687783,-1.6296296296296253,-2.738432483474973,-2.5573298657091126,-0.9782125389061758,-1.0844561288202437,,-2.0909492159193244,-1.588352084712108,-1.7317450456300427
2025-10-10 01:50:00+00:00,-1.140065146579805,-1.5802469135802522,-2.7699087189172134,-2.5573298657091126,-0.9782125389061758,-1.0187315149523535,,-2.1595091579582393,,-1.7434291223718787
2025-10-10 01:55:00+00:00,-1.140065146579805,-1.6049382716049387,-2.7699087189172134,-2.5573298657091126,-0.9782125389061758,-1.0187315149523535,,-2.010973077652378,-1.9192587690271323,-1.7499272379186388
2025-10-10 02:00:00+00:00,-1.3029315960912058,-1.7777777777777781,-2.958766131570667,-2.8109453586674937,-1.1560693641618491,-1.183043049622079,-1.2211668928086894,-2.262338610238157,-1.4559894109861027,-1.7921142435471136
2025-10-10 02:05:00+00:00,-1.2563983248022326,-1.8024691358024647,-2.895813660686186,-2.800380465163621,-1.1560693641618491,-1.1501807426881339,-1.4925373134328401,-2.2851919242511287,-1.588352084712108,-1.8252658906333963
2025-10-10 02:10:00+00:00,-1.2331316891577515,-1.7530864197530915,-2.832861189801694,-2.7581079914002493,-1.1560693641618491,-1.1173184357541888,-1.4925373134328401,-2.25091544015783,-1.3898080741231,-1.775981768638066
2025-10-10 02:15:00+00:00,-1.2796649604467247,-1.9012345679012332,-2.9902423670129075,-2.8215167020453014,-1.2005335704757703,-1.2159053565560352,-1.6282225237449155,-2.330898552277083,-1.588352084712108,-1.8840634094635642
2025-10-10 02:20:00+00:00,-1.2796649604467247,-1.851851851851849,-3.021718602455148,-2.768679334778057,-1.2005335704757703,-1.2816299704239253,-1.6282225237449155,-2.3880283503833533,-1.6545334215751106,-1.897206954014984
2025-10-10 02:25:00+00:00,-1.2563983248022326,-1.7777777777777781,-3.021718602455148,-2.7158419675108236,-1.2005335704757703,-1.3473545842918155,-1.7639077340569909,-2.330898552277083,-1.588352084712108,-1.8891981331510834
